t_ms,V_mV,m,h,n,Iinj_uAcm2,INa_uAcm2,IK_uAcm2,IL_uAcm2
1.77,-64.99476595,0.05296189361,0.59610095,0.3176899315,0,-1.221995614,4.40237401,-3.182329786
1.78,-64.99474649,0.05296203123,0.596100758,0.3176900547,0,-1.22200454,4.402387978,-3.182323948
1.79,-64.99472714,0.05296216817,0.5961005655,0.3176901783,0,-1.222013419,4.402401925,-3.182318143
1.8,-64.9947079,0.05296230443,0.5961003723,0.3176903022,0,-1.22202225,4.402415849,-3.182312371
1.81,-64.99468877,0.05296244001,0.5961001786,0.3176904264,0,-1.222031035,4.40242975,-3.182306631
1.82,-64.99466974,0.05296257491,0.5960999844,0.317690551,0,-1.222039772,4.402443629,-3.182300923
1.83,-64.99465083,0.05296270913,0.5960997896,0.3176906758,0,-1.222048463,4.402457484,-3.182295248
1.84,-64.99463202,0.05296284268,0.5960995942,0.3176908009,0,-1.222057107,4.402471317,-3.182289606
1.85,-64.99461332,0.05296297554,0.5960993983,0.3176909263,0,-1.222065703,4.402485127,-3.182283996
1.86,-64.99459473,0.05296310772,0.5960992019,0.317691052,0,-1.222074253,4.402498913,-3.182278418
1.87,-64.99457624,0.05296323923,0.5960990049,0.317691178,0,-1.222082756,4.402512675,-3.182272873
1.88,-64.99455787,0.05296337005,0.5960988075,0.3176913043,0,-1.222091212,4.402526414,-3.182267361
1.89,-64.9945396,0.0529635002,0.5960986095,0.3176914309,0,-1.222099621,4.402540129,-3.18226188
1.9,-64.99452144,0.05296362967,0.5960984109,0.3176915577,0,-1.222107983,4.40255382,-3.182256432
1.91,-64.99450339,0.05296375845,0.5960982119,0.3176916849,0,-1.222116298,4.402567487,-3.182251017
1.92,-64.99448544,0.05296388657,0.5960980124,0.3176918123,0,-1.222124567,4.40258113,-3.182245633
1.93,-64.99446761,0.052964014,0.5960978123,0.3176919399,0,-1.222132789,4.402594748,-3.182240282
1.94,-64.99444988,0.05296414076,0.5960976118,0.3176920679,0,-1.222140964,4.402608341,-3.182234963
1.95,-64.99443226,0.05296426684,0.5960974108,0.3176921961,0,-1.222149092,4.402621909,-3.182229677
1.96,-64.99441474,0.05296439224,0.5960972093,0.3176923245,0,-1.222157174,4.402635453,-3.182224422
1.97,-64.99439733,0.05296451696,0.5960970073,0.3176924532,0,-1.222165209,4.402648971,-3.1822192
1.98,-64.99438003,0.05296464101,0.5960968048,0.3176925822,0,-1.222173198,4.402662464,-3.18221401
1.99,-64.99436284,0.05296476439,0.5960966019,0.3176927114,0,-1.222181139,4.402675932,-3.182208851
2,-64.99434575,0.05296488709,0.5960963985,0.3176928408,0,-1.222189035,4.402689374,-3.182203725
2.01,-64.99432877,0.05296500911,0.5960961947,0.3176929705,0,-1.222196884,4.402702791,-3.182198631
2.02,-64.9943119,0.05296513046,0.5960959903,0.3176931005,0,-1.222204686,4.402716181,-3.182193569
2.03,-64.99429513,0.05296525113,0.5960957856,0.3176932306,0,-1.222212442,4.402729545,-3.182188539
2.04,-64.99427847,0.05296537113,0.5960955804,0.317693361,0,-1.222220151,4.402742884,-3.18218354
2.05,-64.99426191,0.05296549046,0.5960953747,0.3176934917,0,-1.222227814,4.402756196,-3.182178574
2.06,-64.99424546,0.05296560912,0.5960951686,0.3176936225,0,-1.222235431,4.402769481,-3.182173639
2.07,-64.99422912,0.0529657271,0.5960949621,0.3176937536,0,-1.222243002,4.40278274,-3.182168736
2.08,-64.99421288,0.05296584441,0.5960947552,0.3176938848,0,-1.222250526,4.402795972,-3.182163865
2.09,-64.99419675,0.05296596104,0.5960945478,0.3176940163,0,-1.222258004,4.402809177,-3.182159026
2.1,-64.99418073,0.05296607701,0.59609434,0.3176941481,0,-1.222265436,4.402822355,-3.182154218
2.11,-64.99416481,0.05296619231,0.5960941318,0.31769428,0,-1.222272822,4.402835506,-3.182149442
2.12,-64.99414899,0.05296630693,0.5960939232,0.3176944121,0,-1.222280161,4.40284863,-3.182144697
2.13,-64.99413328,0.05296642089,0.5960937142,0.3176945444,0,-1.222287455,4.402861726,-3.182139985
2.14,-64.99411768,0.05296653418,0.5960935048,0.3176946769,0,-1.222294703,4.402874795,-3.182135303
2.15,-64.99410218,0.0529666468,0.596093295,0.3176948096,0,-1.222301904,4.402887836,-3.182130653
2.16,-64.99408678,0.05296675875,0.5960930848,0.3176949425,0,-1.22230906,4.402900849,-3.182126035
2.17,-64.99407149,0.05296687003,0.5960928743,0.3176950756,0,-1.22231617,4.402913834,-3.182121448
2.18,-64.99405631,0.05296698065,0.5960926633,0.3176952089,0,-1.222323234,4.402926791,-3.182116892
2.19,-64.99404123,0.0529670906,0.596092452,0.3176953423,0,-1.222330253,4.40293972,-3.182112368
2.2,-64.99402625,0.05296719989,0.5960922403,0.317695476,0,-1.222337226,4.40295262,-3.182107875
2.21,-64.99401138,0.05296730851,0.5960920283,0.3176956098,0,-1.222344153,4.402965492,-3.182103413
2.22,-64.99399661,0.05296741646,0.5960918159,0.3176957437,0,-1.222351034,4.402978335,-3.182098982
2.23,-64.99398194,0.05296752376,0.5960916031,0.3176958779,0,-1.22235787,4.402991149,-3.182094583
2.24,-64.99396738,0.05296763039,0.59609139,0.3176960122,0,-1.222364661,4.403003935,-3.182090214
2.25,-64.99395292,0.05296773635,0.5960911765,0.3176961467,0,-1.222371406,4.403016691,-3.182085877
2.26,-64.99393857,0.05296784166,0.5960909627,0.3176962813,0,-1.222378105,4.403029419,-3.182081571
2.27,-64.99392432,0.0529679463,0.5960907486,0.3176964161,0,-1.22238476,4.403042117,-3.182077296
2.28,-64.99391017,0.05296805029,0.5960905341,0.317696551,0,-1.222391369,4.403054785,-3.182073051
2.29,-64.99389613,0.05296815361,0.5960903193,0.3176966861,0,-1.222397932,4.403067425,-3.182068838
2.3,-64.99388218,0.05296825628,0.5960901042,0.3176968213,0,-1.222404451,4.403080034,-3.182064655
2.31,-64.99386834,0.05296835829,0.5960898888,0.3176969567,0,-1.222410925,4.403092614,-3.182060503
2.32,-64.99385461,0.05296845964,0.596089673,0.3176970922,0,-1.222417353,4.403105164,-3.182056382
2.33,-64.99384097,0.05296856033,0.596089457,0.3176972278,0,-1.222423736,4.403117684,-3.182052292
2.34,-64.99382744,0.05296866037,0.5960892406,0.3176973636,0,-1.222430075,4.403130174,-3.182048232
2.35,-64.99381401,0.05296875975,0.596089024,0.3176974995,0,-1.222436369,4.403142634,-3.182044203
2.36,-64.99380068,0.05296885848,0.596088807,0.3176976355,0,-1.222442618,4.403155063,-3.182040204
2.37,-64.99378745,0.05296895655,0.5960885898,0.3176977717,0,-1.222448822,4.403167462,-3.182036236
2.38,-64.99377433,0.05296905398,0.5960883722,0.3176979079,0,-1.222454981,4.403179831,-3.182032299
2.39,-64.99376131,0.05296915075,0.5960881544,0.3176980443,0,-1.222461096,4.403192168,-3.182028392
2.4,-64.99374838,0.05296924686,0.5960879363,0.3176981808,0,-1.222467166,4.403204475,-3.182024515
2.41,-64.99373556,0.05296934233,0.596087718,0.3176983175,0,-1.222473192,4.403216751,-3.182020668
2.42,-64.99372284,0.05296943715,0.5960874993,0.3176984542,0,-1.222479173,4.403228997,-3.182016852
2.43,-64.99371022,0.05296953132,0.5960872804,0.317698591,0,-1.22248511,4.403241211,-3.182013066
2.44,-64.9936977,0.05296962484,0.5960870613,0.317698728,0,-1.222491003,4.403253394,-3.18200931
2.45,-64.99368528,0.05296971772,0.5960868419,0.317698865,0,-1.222496851,4.403265545,-3.182005585
2.46,-64.99367296,0.05296980995,0.5960866222,0.3176990021,0,-1.222502656,4.403277666,-3.182001889
2.47,-64.99366074,0.05296990153,0.5960864023,0.3176991393,0,-1.222508416,4.403289754,-3.181998223
2.48,-64.99364863,0.05296999247,0.5960861822,0.3176992766,0,-1.222514132,4.403301811,-3.181994588
2.49,-64.99363661,0.05297008276,0.5960859618,0.317699414,0,-1.222519804,4.403313837,-3.181990982
2.5,-64.99362469,0.05297017242,0.5960857412,0.3176995515,0,-1.222525432,4.403325831,-3.181987406
2.51,-64.99361287,0.05297026143,0.5960855203,0.3176996891,0,-1.222531016,4.403337792,-3.18198386
2.52,-64.99360115,0.0529703498,0.5960852992,0.3176998267,0,-1.222536557,4.403349722,-3.181980344
2.53,-64.99358952,0.05297043753,0.5960850779,0.3176999645,0,-1.222542054,4.40336162,-3.181976857
2.54,-64.993578,0.05297052462,0.5960848564,0.3177001022,0,-1.222547507,4.403373485,-3.1819734
